id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_document_general_admin,access_document_general_admin,model_document_general,base.group_system,1,1,1,1
access_document_general_part_admin,access_document_general_admin,model_document_general_part,base.group_system,1,1,1,1
access_document_permission_permission_admin,access_document_permission_permission_admin,model_document_permission,base.group_system,1,1,1,1
access_document_quotation_part_admin,access_document_quotation_part_admin,model_document_quotation_part,base.group_system,1,1,1,1
access_document_project_part_admin,access_document_project_part_admin,model_document_project_part,base.group_system,1,1,1,1
access_document_crm_part_admin,access_document_crm_part_admin,model_document_crm_part,base.group_system,1,1,1,1

access_document_general_file_admin,access_document_general_file_admin,model_document_general_file,base.group_system,1,1,1,1
access_document_project_file_admin,access_document_project_file_admin,model_document_project_file,base.group_system,1,1,1,1
access_document_quotation_file_admin,access_document_quotation_file_admin,model_document_quotation_file,base.group_system,1,1,1,1
access_document_crm_file_admin,access_document_crm_file_admin,model_document_crm_file,base.group_system,1,1,1,1

access_document_file_permission_admin,access_document_file_permission_admin,model_document_file_permission,base.group_system,1,1,1,1
access_document_file_permission_error_admin,access_document_file_permission_error_admin,model_document_file_permission_error,base.group_system,1,1,1,1
access_res_users_force_update_google_email_admin,access_res_users_force_update_google_email_admin,model_res_users_force_update_google_email,base.group_system,1,1,1,1
access_document_file_permission_clear_google_drive_permission_admin,access_document_file_permission_clear_google_drive_permission_admin,model_document_file_permission_just_clear_permission,base.group_system,1,1,1,1


access_document_general,access_document_general,model_document_general,group_document_general,1,0,0,0
access_document_general_manager,access_document_general_manager,model_document_general,group_document_general_manager,1,1,1,1
access_document_general_part_manager,access_document_general_part_manager,model_document_general_part,group_document_general_part_manager,1,1,1,1
access_document_general_part_user,access_document_general_part_user,model_document_general_part,group_document_base,1,1,1,1
access_document_project_part,access_document_project_part,model_document_project_part,group_document_project,1,1,1,1
access_document_crm_part,access_document_crm_part,model_document_crm_part,group_document_crm,1,1,1,1
access_document_quotation_part,access_document_quotation_part,model_document_quotation_part,group_document_quotation,1,1,1,1
access_document_general_file,access_document_general_file,model_document_general_file,group_document_general,1,1,1,1
access_document_project_file,access_document_project_file,model_document_project_file,group_document_project,1,1,1,1
access_document_quotation_file,access_document_quotation_file,model_document_quotation_file,group_document_quotation,1,1,1,1
access_document_crm_file,access_document_crm_file,model_document_crm_file,group_document_crm,1,1,1,1

access_external_users,access_external_users,model_external_users_permission,base.group_system,1,1,1,1
access_external_users_base,access_external_users_base,model_external_users_permission,,1,1,1,1

access_document_tags,access_document_file_tags,model_document_tags,base.group_system,1,1,1,1
